AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
RTQC,2010-01-01,1.0,0.0,-0.5891918188517246,-0.3944897084052641,0.0,-0.21758484087046054,-0.022114357582726236,-0.6198743594967449,-0.6065764941292744,-2.530676532490424,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.008874923409160669
SOCG,2010-01-01,1.0,0.5298346506341929,-0.7755731971800615,0.0,-0.3026532594020304,-0.717142927065723,0.0,0.0,0.0,-0.8093504727946952,-0.25344574683616894,-0.4876437860386184,-0.511953536352998,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
SOEC,2010-01-01,1.0,0.0,-0.21425037814948786,-0.9130407102272841,0.0,-0.9130328513205714,0.0,0.0,-0.9130407102272841,-0.7123712900173333,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
SPRG,2010-01-01,1.0,0.7104989507964518,-0.6602205072477128,-0.8317836451795767,0.0,-0.49836264590042495,0.0,-0.6710634335404805,-0.8317836451795767,-0.8639531294106161,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
TBSG,2010-01-01,1.0,0.40855113117492137,-1.0917501477854372,0.0,0.9716782478403168,-1.1214326277814621,0.0,0.0,0.0,-0.21410188176500858,-0.24728853054980263,-0.48772634589497066,-0.5107441010945798,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
TCIG,2010-01-01,1.0,-0.3806115836453436,-1.1654620135292917,0.0,-0.3571955488652532,-1.1769805106205413,0.0,0.0,0.0,0.0,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
TRMG,2010-01-01,1.0,0.5128996257507669,0.3246917057107379,-0.3703239056099201,0.5649570642017399,0.19441261317893266,0.0,-0.6051296734837065,-0.3703239056099201,0.10746328670422417,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.10211019228976591
BTGC,2010-02-01,2.0,0.0,-0.43869911245642923,-0.44571897849145703,0.0,0.0,0.0,-0.21193623249629875,-0.44571897849145703,-0.4674232089292092,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
CHVG,2010-02-01,2.0,0.2446610028704668,0.2962454053136259,-0.9483457685467527,0.33824386326910727,0.45215659874164293,0.0,-0.507139324428937,-0.9483457685467527,0.08193567794018894,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.15884869323215628
CMMC,2010-02-01,2.0,0.0,-0.6436921426885551,-0.6438949033252603,0.0,-0.6439078496807839,-0.6438920266105453,0.0,-0.6438875976712111,-0.4218004195808117,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
CNSC,2010-02-01,2.0,0.0,-0.1323042127586879,0.2698607198782513,0.0,0.24326878969832377,0.25002921268581574,0.0,1.345087775478116,-0.23780191091069083,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.024150837467645896
CSIC,2010-02-01,2.0,0.0,-0.26016873543208485,-0.2602123349759861,0.0,-0.2602398573618177,-0.26020485991411063,-0.14105367350152742,-0.26023761662787276,-0.14049464688326646,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
EMIC,2010-02-01,2.0,0.0,0.41607528380733677,0.23828770197950658,0.0,0.2705481658382763,0.19390836749507523,0.0,0.4384722743577695,-0.5304956012251185,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.5693394885158181
EMIG,2010-02-01,2.0,-0.6600856728137386,-2.0246352049705063,0.48406618360665965,0.0,0.0,0.0,-0.21429084873982437,0.48406618360665965,0.339158799820181,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
EMSC,2010-02-01,2.0,0.0,0.42152915786869394,0.14156616988268186,0.0,0.21442339350793066,0.14490757463552845,0.0,0.09409468708382639,-0.12186308301874399,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.4306643899059999
EMUG,2010-02-01,2.0,0.05545894609852404,0.598670079219976,0.9062885247689711,0.20304939399582886,0.2585421312750461,0.0,-0.14106796085953568,0.9062885247689711,0.35791258393174824,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.18003265321191098
ENDC,2010-02-01,2.0,0.0,-0.6098311113384962,0.14621613133894742,0.0,0.13930784680282055,-0.5079122861934185,0.0,0.18931887442837478,0.0,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
ENDG,2010-02-01,2.0,0.17823278636972462,0.35455660575367354,0.13926159221584922,0.366846729748512,0.14548937241738644,0.0,-0.6507326478206507,0.13926159221584922,0.15782208183471466,-0.047891625381449865,-0.46841208575261545,-0.49099865701041573,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.5246654450811997
EPMC,2010-02-01,2.0,0.0,0.22845618240185617,0.24430756841969387,0.0,0.24176010612727833,0.2483613103693418,0.0,0.23623223635440813,0.0,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.07792362293067671
EPMG,2010-02-01,2.0,0.2105479705200892,0.45657107493942856,0.3525972167647851,0.37244614320357444,0.23296524213443687,0.0,-0.5601752017072757,0.3525972167647851,0.22178443597291747,-0.05658509912958367,-0.46874627871978825,-0.49178854855374426,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.2587992507794865
